Method,Pb_RMSE,Pb_MAE,Pb_R2,Pb_AAPE%,Rs_RMSE,Rs_MAE,Rs_R2,Rs_AAPE%,Bo_RMSE,Bo_MAE,Bo_R2,Bo_AAPE%,mu_o_RMSE,mu_o_MAE,mu_o_R2,mu_o_AAPE%
Standing,916.5458045932919,636.2215615271052,0.8703868335777416,13.511475475482158,164.8721468493174,87.13562556700899,0.9142216304652517,38.82896440365892,0.15185881480476357,0.10468127664171102,0.7561900490768484,7.376511400268091,1.1153697918733494,0.23366598369501246,0.9324411314939691,10.869851423048885
Petrosky-Farshad,1188.8112459560675,999.8644357750575,0.781944732418276,34.03779494905603,187.44655351703668,118.65942392846486,0.8891238543692943,29.09162907331148,0.13312309780596543,0.09844425281949988,0.812639410003493,6.742961767529372,2.337242717010974,0.5619384261822312,0.7033446114486168,25.107279962177962
Glaso,835.3290888489128,578.512075782368,0.8923396014380044,12.840752854528203,147.95100457772574,77.51496115648033,0.930925295206992,41.407419610779506,0.12275920797622016,0.08636751745215081,0.8406765982875906,5.9724059517474855,0.9186049749062045,0.20913502807252748,0.9541750291580324,10.199160400937023
Vasquez-Beggs,885.4277186677655,603.012915512573,0.8790385455761209,12.858010927434249,138.72068876896384,73.93908620262994,0.9392752586287657,36.27900961395876,0.13246934999371648,0.09434317266694918,0.814475091731329,6.339855107371925,0.9831123857888588,0.2039226412195135,0.947513097190187,9.830001296253934
ML (Best),761.5354575667203,600.7190200542857,0.9105210186829839,15.91323700960278,168.09316721693438,117.01925656089216,0.9108372773804587,43.58303589061065,0.09436722560284863,0.06977687016599171,0.9058514168059981,4.80785514738918,0.3712560001418273,0.10481150604370723,0.99251500397991,6.266511768004343
